document_id,document_name,jurisdiction,document_type,url,local_path,status,bytes,sha256,extraction_method,notes
EU-TAX-001,VAT Directive 2006/112/EC,European Union,EU Directive,https://eur-lex.europa.eu/eli/dir/2006/112/oj,raw/eu/tax/VAT-Directive-2006-112-EC.txt,success,3700,,WebFetch EUR-Lex,"Complete VAT framework across EU. 15 titles covering scope, territorial application, taxable persons, transactions, place, chargeability, rates, exemptions, deductions, obligations, special schemes, derogations. Minimum standard rate 15%. Foundation for all EU member state VAT systems."
EU-TAX-002,ATAD 2016/1164/EU,European Union,EU Directive,https://eur-lex.europa.eu/eli/dir/2016/1164/oj,raw/eu/tax/ATAD-Directive-2016-1164-EU.txt,success,3900,,WebFetch EUR-Lex,"Anti-Tax Avoidance Directive. Interest limitation (30% EBITDA), exit taxation, general anti-abuse rule, controlled foreign company rules, hybrid mismatch provisions. Implementation deadline Dec 31 2018; effective Jan 1 2019."
EU-TAX-003,CbCR & Transfer Pricing Directive 2016/881/EU,European Union,EU Directive,https://eur-lex.europa.eu/eli/dir/2016/881/oj,raw/eu/tax/CbCR-Transfer-Pricing-Directive-2016-881.txt,success,5700,,WebFetch EUR-Lex,"Country-by-Country Reporting directive. EUR 750M threshold, 12-month filing deadline, automatic exchange between member states within 15 months. Information on revenue, profit/loss, taxes, capital, earnings, employees, assets by jurisdiction."
EU-TAX-004,Administrative Cooperation Directive 2011/16/EU,European Union,EU Directive,https://eur-lex.europa.eu/eli/dir/2011/16/oj,raw/eu/tax/Administrative-Cooperation-Directive-2011-16-EU.txt,success,5600,,WebFetch EUR-Lex,"Tax information exchange between EU member states. Three mechanisms: exchange on request, automatic exchange (5 income categories as of Jan 1 2014), spontaneous exchange. Strict confidentiality safeguards. Central liaison offices coordinate exchange."
EU-TAX-005,Dividend Tax Directive 90/435/EEC,European Union,EU Directive,https://eur-lex.europa.eu/eli/dir/1990/435/oj,raw/eu/tax/Dividend-Tax-Directive-90-435-EEC.txt,success,4400,,WebFetch EUR-Lex,"Historical reference: Parent-subsidiary dividend taxation (25% ownership threshold). Repealed by Directive 2011/96/EU effective Jan 17 2012. Documents evolution of EU corporate taxation framework."
EU-ACC-001,Accounting Directive 2013/34/EU,European Union,EU Directive,https://eur-lex.europa.eu/eli/dir/2013/34/oj,raw/eu/accounting/Accounting-Directive-2013-34-EU.txt,success,3000,,WebFetch EUR-Lex,"Core EU accounting requirements. Micro/small/medium/large undertaking classifications with thresholds. Annual financial statement requirements (balance sheet, profit/loss, notes). Going concern, consistency, prudence, accrual basis. Audit requirements with SME exemptions."
EU-ACC-002,IFRS Adoption Regulation (EC) 1606/2002,European Union,EU Regulation,https://eur-lex.europa.eu/eli/reg/2002/1606/oj,raw/eu/accounting/IFRS-Adoption-Regulation-EC-1606-2002.txt,success,3200,,WebFetch EUR-Lex,"Mandatory IFRS for EU public company consolidated financial statements from Jan 1 2005. Defines IASB standards adoption process. Endorsement criteria: true/fair view, public good, understandability, relevance, reliability, comparability. Member state flexibility for annual accounts."
EU-ACC-003,Transparency Directive 2004/109/EC,European Union,EU Directive,https://eur-lex.europa.eu/eli/dir/2004/109/oj,raw/eu/accounting/Transparency-Directive-2004-109-EC.txt,success,5500,,WebFetch EUR-Lex,"Periodic financial reporting for issuers on regulated markets. Annual reports (4-month deadline), half-yearly reports (2-month deadline), interim management statements. Major holdings disclosure at 5/10/15/20/25/30/50/75% thresholds (4 trading days). Shareholder rights to proxy voting."
EU-ACC-004,Corporate Sustainability Reporting Directive (CSRD) 2022/2464,European Union,EU Directive,https://eur-lex.europa.eu/eli/dir/2022/2464/oj,raw/eu/accounting/CSRD-Directive-2022-2464.txt,success,6800,,WebFetch EUR-Lex,"Mandatory corporate sustainability reporting. Applies to large undertakings (all), SMEs on regulated markets (except micro), third-country undertakings with significant EU operations. Double materiality framework (financial impacts ON company, impacts OF company). Staggered implementation 2024-2028."
EU-PROP-001,Mortgage Credit Directive 2014/17/EU,European Union,EU Directive,https://eur-lex.europa.eu/eli/dir/2014/17/oj,raw/eu/property/Mortgage-Credit-Directive-2014-17-EU.txt,success,4600,,WebFetch EUR-Lex,"Consumer credit on residential property. Pre-contractual ESIS (European Standardised Information Sheet), creditworthiness assessment, credit intermediary supervision, responsible lending requirements. Currency risk protection for foreign currency loans. 7-day reflection period, early repayment rights."
EU-PROP-002,Insolvency Regulation (EU) 2015/848,European Union,EU Regulation,https://eur-lex.europa.eu/eli/reg/2015/848/oj,raw/eu/property/Insolvency-Regulation-EU-2015-848.txt,success,5100,,WebFetch EUR-Lex,"Cross-border insolvency proceedings framework. Jurisdiction based on centre of main interests (presumed: registered office for companies). Main and secondary proceedings coordination. Applicable law: opening member state law governs. Exceptions for rights in rem, employment, payment systems."
DE-PROP-GUIDE,GERMANY ACCESS GUIDE - Legal Sources,Germany,Access Guide,https://www.gesetze-im-internet.de/,raw/germany/GERMANY-ACCESS-GUIDE.md,partial,2300,,Documentation,"Comprehensive guide for accessing German federal statutes from gesetze-im-internet.de. Documents access methods for Einkommensteuergesetz (EStG), Umsatzsteuergesetz (UStG), Grundbuchordnung (GBO), other P1 sources. Explains table-of-contents limitation and workarounds. Provides direct PDF/HTML/XML download instructions."
FR-TAX-GUIDE,FRANCE ACCESS GUIDE - Legal Sources,France,Access Guide,https://www.legifrance.gouv.fr/,raw/france/FRANCE-ACCESS-GUIDE.md,blocked_requires_manual,1900,,Documentation,"Comprehensive guide for accessing French legal codes from Legifrance (HTTP 403 blocking issue). Documents blocked sources: Code Général des Impôts (CGI), Code Civil, Code de Commerce. Provides 5 workaround strategies including manual browser download (recommended). Alternative sources via EU-Lex for harmonized provisions."
