inventory_path,document_name,url_used,local_path,status,bytes,sha256,notes
Summary Statistics,US Federal,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,US State,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,EU Directives/Regs,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,Germany (BGB),,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,France,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,Canada,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,Australia,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,UK,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,Datasets (CUAD etc),,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,Case Law,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,Industry Standards,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Summary Statistics,TOTAL,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Priority Legend,P0,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Priority Legend,P1,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
Priority Legend,P2,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
1. US FEDERAL LAW / 1.1 US Code Titles,17 USC,https://uscode.house.gov/download/download.shtml,raw/us_federal/17-usc,error,0,,"Request error: HTTPSConnectionPool(host='uscode.house.gov', port=443): Max retries exceeded with url: /download/download.shtml (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7c5d0583f890>, 'Connection to uscode.house.gov timed out. (connect timeout=30)'))"
