jurisdiction,document,filepath,filesize,hash_sha256,priority,downloaded
uk,Housing Act 1988,/home/setup/if-legal-corpus/raw/uk/housing/Housing_Act_1988.html,2784113,5d1509a20ed66d0d48267c637545cd8875987390226237daef6ae33f2cafc2db,P0,2025-11-28T05:06:33.044165
uk,Housing Act 1985,/home/setup/if-legal-corpus/raw/uk/housing/Housing_Act_1985.html,296747,af362c1c39fa56eec153096228ecb47b821169940722d68d5bfef9908ea2805b,P0,2025-11-28T05:06:33.659060
uk,Landlord and Tenant Act 1985,/home/setup/if-legal-corpus/raw/uk/housing/Landlord_and_Tenant_Act_1985.html,879375,991315a612767252180f0ee5be514dc26024de372c3eddd122c25fae0936b18f,P0,2025-11-28T05:06:33.803150
uk,Protection from Eviction Act 1977,/home/setup/if-legal-corpus/raw/uk/housing/Protection_from_Eviction_Act_1977.html,195894,98b8cf95b48982acdb4df2c0de01bf8e196205c86e111772abbd9bcc59d5525f,P0,2025-11-28T05:06:34.369340
uk,Rent Act 1977,/home/setup/if-legal-corpus/raw/uk/housing/Rent_Act_1977.html,1656989,8a75c8c96f1c91eb88af32ff9f5750878a06230a2f9ed6b96a84328b7aa39460,P0,2025-11-28T05:06:37.043680
uk,Housing and Planning Act 2016,/home/setup/if-legal-corpus/raw/uk/housing/Housing_and_Planning_Act_2016.html,2190292,1be3399a77e3b1ffabc4f2b2b33df20a2c7695aeafb73695d5c2c4f4c9f54df2,P1,2025-11-28T05:06:40.327139
spain,Ley de Arrendamientos Urbanos (LAU 29/1994),/home/setup/if-legal-corpus/raw/spain/housing/Ley_de_Arrendamientos_Urbanos_LAU_29_1994.php,363989,79a394e889b845136269b5a32c39edeebddb58c504189957eff38d8b55e8b13e,P0,2025-11-28T05:06:40.594752
spain,Ley de Propiedad Horizontal (49/1960),/home/setup/if-legal-corpus/raw/spain/housing/Ley_de_Propiedad_Horizontal_49_1960.php,280444,7e0e00fb3620b9e04df487a316d612c71ecff2959d163e1f0b55c741759f168f,P0,2025-11-28T05:06:40.633217
spain,Real Decreto-Ley 7/2019 (Urgent Housing Measures),/home/setup/if-legal-corpus/raw/spain/housing/Real_Decreto-Ley_7_2019_Urgent_Housing_Measures.php,152899,0d2025c8d100d60322ad90e2d559d6d5a879d8e68b45e9c41fd8b653e6cf383b,P1,2025-11-28T05:06:40.724274
usa_federal,Fair Housing Act (42 USC 3601-3619),/home/setup/if-legal-corpus/raw/usa_federal/housing/Fair_Housing_Act_42_USC_3601-3619.html,41835,639b10b8d33b7b55c411f708a45681fbd77dee0732213778fefcd9aa65e706ba,P0,2025-11-28T05:06:41.277839
usa_federal,HUD Regulations (24 CFR Part 100),/home/setup/if-legal-corpus/raw/usa_federal/housing/HUD_Regulations_24_CFR_Part_100.html,295340,192a029a3248da4d4eabfd36965859cbfe26c2879e1f2d70d7a6d3f22cdb9c93,P0,2025-11-28T05:06:42.219506
usa_federal,Lead-Based Paint Disclosure (24 CFR 35),/home/setup/if-legal-corpus/raw/usa_federal/housing/Lead-Based_Paint_Disclosure_24_CFR_35.html,112381,8585a9581dedf288cec2ef397d9e4141b56d99d49a70053a78fbb59e68b7b9ee,P0,2025-11-28T05:06:42.541396
usa_federal,National Fair Housing Commission Rules (42 USC 3614),/home/setup/if-legal-corpus/raw/usa_federal/housing/National_Fair_Housing_Commission_Rules_42_USC_3614.html,98295,1e7b914e9d3053638774527bf63b4e09694541af95c01311dabc179126487b35,P1,2025-11-28T05:06:42.656954
usa_states,California Tenant Protection Act (AB 1482),/home/setup/if-legal-corpus/raw/usa_states/housing/California_Tenant_Protection_Act_AB_1482.xhtml,116080,ab4a23b794a1e53e3c324424b994ee6cf1ff91d2f08d571180dfda86869bf6ee,P0,2025-11-28T05:06:43.647359
usa_states,New York Housing Stability and Tenant Protection Act,/home/setup/if-legal-corpus/raw/usa_states/housing/New_York_Housing_Stability_and_Tenant_Protection_Act.html,366706,bb76e316c24b7a94e1c617b6a14f266975729b073d6085d2a2d0d51962d21f8b,P0,2025-11-28T05:06:44.931478
usa_states,New York Residential Tenancy Law (RPL 226-c),/home/setup/if-legal-corpus/raw/usa_states/housing/New_York_Residential_Tenancy_Law_RPL_226-c.html,22546,a23573e5ed545dc0124a25f148cf425f976e6615aceca71158ecc315d6968450,P1,2025-11-28T05:06:45.638231
usa_states,Texas Property Code (Residential Tenancies Ch 92-103),/home/setup/if-legal-corpus/raw/usa_states/housing/Texas_Property_Code_Residential_Tenancies_Ch_92-103.pdf,435968,883d069ea492126d07533f80fc1bbb10f4c5c946728d2aa5c4bf3e6c4ecb9413,P1,2025-11-28T05:06:47.099820
