document_name,category,citation,year,url,filepath,file_size_bytes,sha256,download_timestamp,status,notes
Law of Property Act 1925,property,c. 20,1925,https://www.legislation.gov.uk/ukpga/Geo5/15-16/20,/home/setup/if-legal-corpus/raw/uk/property/law-of-property-act-1925,1244845,N/A,2025-11-28T00:00:00,SUCCESS,P0 - Critical for land ownership
Land Registration Act 2002,property,c. 9,2002,https://www.legislation.gov.uk/ukpga/2002/9,/home/setup/if-legal-corpus/raw/uk/property/land-registration-act-2002,846840,N/A,2025-11-28T00:00:00,SUCCESS,P0 - Critical for registration
Landlord and Tenant Act 1954,property,c. 56,1954,https://www.legislation.gov.uk/ukpga/Eliz2/2-3/56,/home/setup/if-legal-corpus/raw/uk/property/landlord-and-tenant-act-1954,821612,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Lease provisions
Housing Act 1988,property,c. 50,1988,https://www.legislation.gov.uk/ukpga/1988/50,/home/setup/if-legal-corpus/raw/uk/property/housing-act-1988,2784113,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Residential tenancies
Commonhold and Leasehold Reform Act 2002,property,c. 15,2002,https://www.legislation.gov.uk/ukpga/2002/15,/home/setup/if-legal-corpus/raw/uk/property/commonhold-and-leasehold-reform-act-2002,1482964,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Leasehold reform
Land Registration Rules 2003,property,SI 2003/1417,2003,https://www.legislation.gov.uk/uksi/2003/1417,/home/setup/if-legal-corpus/raw/uk/property/land-registration-rules-2003,1269792,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Registration procedures
The Commonhold (Land Registration) Rules 2004,property,SI 2004/1830,2004,https://www.legislation.gov.uk/uksi/2004/1830,/home/setup/if-legal-corpus/raw/uk/property/the-commonhold-land-registration-rules-2004,68575,N/A,2025-11-28T00:00:00,SUCCESS,P2 - Commonhold procedures
The Right to Manage (Prescribed Particulars and Forms) (England) Regulations 2010,property,SI 2010/825,2010,https://www.legislation.gov.uk/uksi/2010/825,/home/setup/if-legal-corpus/raw/uk/property/the-right-to-manage-prescribed-particulars-and-forms-england-regulations-2010,55209,N/A,2025-11-28T00:00:00,SUCCESS,P2 - Right to manage forms
Taxation of Chargeable Gains Act 1992,tax,c. 12,1992,https://www.legislation.gov.uk/ukpga/1992/12/contents,/home/setup/if-legal-corpus/raw/uk/tax/taxation-of-chargeable-gains-act-1992,663791,N/A,2025-11-28T00:00:00,SUCCESS,P0 - Capital gains tax
Value Added Tax Act 1994,tax,c. 23,1994,https://www.legislation.gov.uk/ukpga/1994/23,/home/setup/if-legal-corpus/raw/uk/tax/value-added-tax-act-1994,7135153,N/A,2025-11-28T00:00:00,SUCCESS,P0 - VAT framework
Finance Act 2003 Part 4 SDLT,tax,c. 14 (Part 4),2003,https://www.legislation.gov.uk/ukpga/2003/14/part/4,/home/setup/if-legal-corpus/raw/uk/tax/finance-act-2003-part-4-sdlt,1171185,N/A,2025-11-28T00:00:00,SUCCESS,P0 - Stamp duty land tax
Corporation Tax Act 2010,tax,c. 4,2010,https://www.legislation.gov.uk/ukpga/2010/4,/home/setup/if-legal-corpus/raw/uk/tax/corporation-tax-act-2010,10528465,N/A,2025-11-28T00:00:00,SUCCESS,P0 - Corporate taxation
Finance Act 2023,tax,c. 1,2023,https://www.legislation.gov.uk/ukpga/2023/1/contents,/home/setup/if-legal-corpus/raw/uk/tax/finance-act-2023,27784,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Recent tax changes
Finance (No. 2) Act 2023,tax,c. 30,2023,https://www.legislation.gov.uk/id/ukpga/2023/30,/home/setup/if-legal-corpus/raw/uk/tax/finance-no-2-act-2023,290146,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Recent tax changes
Stamp Duty Land Tax Act 2015,tax,c. 1,2015,https://www.legislation.gov.uk/ukpga/2015/1/contents,/home/setup/if-legal-corpus/raw/uk/tax/stamp-duty-land-tax-act-2015,33330,N/A,2025-11-28T00:00:00,SUCCESS,P1 - SDLT framework
The Late Payment of Commercial Debts (Interest) Act 1998,tax,c. 20,1998,https://www.legislation.gov.uk/ukpga/1998/20,/home/setup/if-legal-corpus/raw/uk/tax/the-late-payment-of-commercial-debts-interest-act-1998,182206,N/A,2025-11-28T00:00:00,SUCCESS,P0 - Late payment interest
The Late Payment of Commercial Debts Regulations 2013,tax,SI 2013/395,2013,https://www.legislation.gov.uk/uksi/2013/395,/home/setup/if-legal-corpus/raw/uk/tax/the-late-payment-of-commercial-debts-regulations-2013,43888,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Late payment procedures
